LineNo,TokenNo,CTS-URN,Sentence-URN,Sentence-Seq,Token-URN,Token-Seq,Head-Token-URN,Surface-Form,Lemma,POS1-PoS,POS2-Person,POS3-Number,POS4-Tense,POS5-Mood,POS6-Voice,POS7-Gender,POS8-Case,POS9-Degree,Head-Token-Lemma,Relation,Who-Said-It,Lsj-URN
63,2,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:63.2,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_10,446,urn:cite2:fuSyntax:0011004tokens.v1:2386570_7,καθʼ,κατά1,urn:cite2:fuSyntax:pos.v1:preposition,null,null,null,null,null,null,null,null,εἷς1,AuxP,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n53647
63,3,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:63.3,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_11,447,urn:cite2:fuSyntax:0011004tokens.v1:2386570_10,αὑτὸν,ἑαυτοῦ1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:accusative,null,κατά1,ADV,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n29881
63,4,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:63.4,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_12,448,urn:cite2:fuSyntax:0011004tokens.v1:2386570_6,κοὐδένʼ,οὐδείς1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:accusative,null,εἰς1,OBJ_CO_ExD0_COORD,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n75765
63,5,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:63.5,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_13,449,urn:cite2:fuSyntax:0011004tokens.v1:2386570_12,ἄλλον,ἄλλος1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:accusative,null,οὐδείς1,ATR,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n4490
63,6,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:63.6,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_14,450,urn:cite2:fuSyntax:0011004tokens.v1:2386570_16,",",comma1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,δέ1,AuxY,Οἰδίπους,null
63,7,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:63.7,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_15,451,urn:cite2:fuSyntax:0011004tokens.v1:2386570_18,ἡ,ὁ1,urn:cite2:fuSyntax:pos.v1:article,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:nominative,null,ψυχή1,ATR,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n71882
63,8,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:63.8,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_16,452,urn:cite2:fuSyntax:0011004tokens.v1:2386570_0,δʼ,δέ1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,-,COORD,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n23596
63,9,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:63.9,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_17,453,urn:cite2:fuSyntax:0011004tokens.v1:2386570_18,ἐμὴ,ἐμός1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:nominative,null,ψυχή1,ATR,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n34193
64,1,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:64.1,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_18,454,urn:cite2:fuSyntax:0011004tokens.v1:2386570_25,ψυχὴ,ψυχή1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:nominative,null,στένω1,SBJ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n115887
64,2,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:64.2,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_19,455,urn:cite2:fuSyntax:0011004tokens.v1:2386570_22,πόλιν,πόλις1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:accusative,null,καί1,OBJ_CO,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n84494
64,3,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:64.3,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_20,456,urn:cite2:fuSyntax:0011004tokens.v1:2386570_22,τε,τε1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,καί1,AuxY,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n102752
64,4,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:64.4,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_21,457,urn:cite2:fuSyntax:0011004tokens.v1:2386570_22,κἀμὲ,ἐγώ1,urn:cite2:fuSyntax:pos.v1:pronoun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:accusative,null,καί1,OBJ_CO,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n30657
64,5,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:64.5,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_22,458,urn:cite2:fuSyntax:0011004tokens.v1:2386570_25,καὶ,καί1,urn:cite2:fuSyntax:pos.v1:conjunction,null,null,null,null,null,null,null,null,στένω1,COORD,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n51951
64,6,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:64.6,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_23,459,urn:cite2:fuSyntax:0011004tokens.v1:2386570_22,σʼ,σύ1,urn:cite2:fuSyntax:pos.v1:pronoun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:accusative,null,καί1,OBJ_CO,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n97456
64,7,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:64.7,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_24,460,urn:cite2:fuSyntax:0011004tokens.v1:2386570_22,ὁμοῦ,ὁμοῦ1,urn:cite2:fuSyntax:pos.v1:adverb,null,null,null,null,null,null,null,null,καί1,AuxY,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n73881
64,8,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:64.8,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_25,461,urn:cite2:fuSyntax:0011004tokens.v1:2386570_16,στένει,στένω1,urn:cite2:fuSyntax:pos.v1:verb,urn:cite2:fuSyntax:person.v1:third_person,urn:cite2:fuSyntax:number.v1:singular,urn:cite2:fuSyntax:tense.v1:present,urn:cite2:fuSyntax:mood.v1:indicative,urn:cite2:fuSyntax:voice.v1:active,null,null,null,δέ1,PRED_CO,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n96525
64,9,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:64.9,urn:cite2:fuSyntax:0011004sentences.v1:2386570,25,urn:cite2:fuSyntax:0011004tokens.v1:2386570_26,462,urn:cite2:fuSyntax:0011004tokens.v1:2386570_0,.,period1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,-,AuxK,Οἰδίπους,null
65,1,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:65.1,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_1,463,urn:cite2:fuSyntax:0011004tokens.v1:2386571_0,ὥστʼ,ὥστε1,urn:cite2:fuSyntax:pos.v1:conjunction,null,null,null,null,null,null,null,null,-,AuxC_ExD0_PRED,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n116421
65,2,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:65.2,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_2,464,urn:cite2:fuSyntax:0011004tokens.v1:2386571_5,οὐχ,οὐ1,urn:cite2:fuSyntax:pos.v1:adverb,null,null,null,null,null,null,null,null,εὕδω1,AuxZ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n75729
65,3,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:65.3,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_3,465,urn:cite2:fuSyntax:0011004tokens.v1:2386571_5,ὕπνῳ,ὕπνος1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:dative,null,εὕδω1,ADV,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n108081
65,4,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:65.4,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_4,466,urn:cite2:fuSyntax:0011004tokens.v1:2386571_21,γʼ,γε1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,φροντίς1,AuxZ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n21705
65,5,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:65.5,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_5,467,urn:cite2:fuSyntax:0011004tokens.v1:2386571_6,εὕδοντά,εὕδω1,urn:cite2:fuSyntax:pos.v1:participle,null,urn:cite2:fuSyntax:number.v1:singular,urn:cite2:fuSyntax:tense.v1:present,urn:cite2:fuSyntax:mood.v1:participial,urn:cite2:fuSyntax:voice.v1:active,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:accusative,null,ἐγώ1,ATR,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n43711
65,6,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:65.6,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_6,468,urn:cite2:fuSyntax:0011004tokens.v1:2386571_7,μʼ,ἐγώ1,urn:cite2:fuSyntax:pos.v1:pronoun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:accusative,null,ἐξεγείρω1,OBJ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n30657
65,7,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:65.7,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_7,469,urn:cite2:fuSyntax:0011004tokens.v1:2386571_9,ἐξεγείρετε,ἐξεγείρω1,urn:cite2:fuSyntax:pos.v1:verb,urn:cite2:fuSyntax:person.v1:second_person,urn:cite2:fuSyntax:number.v1:plural,urn:cite2:fuSyntax:tense.v1:present,urn:cite2:fuSyntax:mood.v1:indicative,urn:cite2:fuSyntax:voice.v1:active,null,null,null,ἀλλά1,ADV_CO,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n37043
65,8,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:65.8,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_8,470,urn:cite2:fuSyntax:0011004tokens.v1:2386571_9,",",comma1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,ἀλλά1,AuxX,Οἰδίπους,null
66,1,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:66.1,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_9,471,urn:cite2:fuSyntax:0011004tokens.v1:2386571_1,ἀλλʼ,ἀλλά1,urn:cite2:fuSyntax:pos.v1:conjunction,null,null,null,null,null,null,null,null,ὥστε1,COORD,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n4357
66,2,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:66.2,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_10,472,urn:cite2:fuSyntax:0011004tokens.v1:2386571_9,ἴστε,οἶδα1,urn:cite2:fuSyntax:pos.v1:verb,urn:cite2:fuSyntax:person.v1:second_person,urn:cite2:fuSyntax:number.v1:plural,urn:cite2:fuSyntax:tense.v1:perfect,urn:cite2:fuSyntax:mood.v1:imperative,urn:cite2:fuSyntax:voice.v1:active,null,null,null,ἀλλά1,ADV_CO,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n72202
66,3,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:66.3,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_11,473,urn:cite2:fuSyntax:0011004tokens.v1:2386571_14,πολλὰ,πολύς1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:neuter,urn:cite2:fuSyntax:case.v1:accusative,null,δακρύω1,ADV,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n85306
66,4,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:66.4,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_12,474,urn:cite2:fuSyntax:0011004tokens.v1:2386571_18,μέν,μέν1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,δέ1,AuxY,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n66260
66,5,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:66.5,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_13,475,urn:cite2:fuSyntax:0011004tokens.v1:2386571_10,με,ἐγώ1,urn:cite2:fuSyntax:pos.v1:pronoun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:accusative,null,οἶδα1,OBJ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n30657
66,6,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:66.6,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_14,476,urn:cite2:fuSyntax:0011004tokens.v1:2386571_18,δακρύσαντα,δακρύω1,urn:cite2:fuSyntax:pos.v1:participle,null,urn:cite2:fuSyntax:number.v1:singular,urn:cite2:fuSyntax:tense.v1:aorist,urn:cite2:fuSyntax:mood.v1:participial,urn:cite2:fuSyntax:voice.v1:active,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:accusative,null,δέ1,ATV_CO,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n23304
66,7,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:66.7,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_15,477,urn:cite2:fuSyntax:0011004tokens.v1:2386571_14,δή,δή1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,δακρύω1,AuxY,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n24295
66,8,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:66.8,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_16,478,urn:cite2:fuSyntax:0011004tokens.v1:2386571_18,",",comma1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,δέ1,AuxX,Οἰδίπους,null
67,1,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:67.1,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_17,479,urn:cite2:fuSyntax:0011004tokens.v1:2386571_19,πολλὰς,πολύς1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:accusative,null,ὁδός2,ATR,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n85306
67,2,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:67.2,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_18,480,urn:cite2:fuSyntax:0011004tokens.v1:2386571_13,δʼ,δέ1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,ἐγώ1,COORD,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n23596
67,3,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:67.3,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_19,481,urn:cite2:fuSyntax:0011004tokens.v1:2386571_20,ὁδοὺς,ὁδός2,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:accusative,null,ἔρχομαι1,OBJ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n72092
67,4,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:67.4,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_20,482,urn:cite2:fuSyntax:0011004tokens.v1:2386571_18,ἐλθόντα,ἔρχομαι1,urn:cite2:fuSyntax:pos.v1:participle,null,urn:cite2:fuSyntax:number.v1:singular,urn:cite2:fuSyntax:tense.v1:aorist,urn:cite2:fuSyntax:mood.v1:participial,urn:cite2:fuSyntax:voice.v1:active,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:accusative,null,δέ1,ATV_CO,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n42827
67,5,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:67.5,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_21,483,urn:cite2:fuSyntax:0011004tokens.v1:2386571_22,φροντίδος,φροντίς1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:genitive,null,πλάνος1,ATR,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n112368
67,6,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:67.6,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_22,484,urn:cite2:fuSyntax:0011004tokens.v1:2386571_20,πλάνοις,πλάνος1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:plural,null,null,null,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:dative,null,ἔρχομαι1,ADV,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n83483
67,7,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:67.7,urn:cite2:fuSyntax:0011004sentences.v1:2386571,26,urn:cite2:fuSyntax:0011004tokens.v1:2386571_23,485,urn:cite2:fuSyntax:0011004tokens.v1:2386571_0,:,punc1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,-,AuxK,Οἰδίπους,null
68,1,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:68.1,urn:cite2:fuSyntax:0011004sentences.v1:2386572,27,urn:cite2:fuSyntax:0011004tokens.v1:2386572_1,486,urn:cite2:fuSyntax:0011004tokens.v1:2386572_6,ἣν,ὅς1,urn:cite2:fuSyntax:pos.v1:pronoun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:accusative,null,ἴασις1,ATR,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n75512
68,2,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:68.2,urn:cite2:fuSyntax:0011004sentences.v1:2386572,27,urn:cite2:fuSyntax:0011004tokens.v1:2386572_2,487,urn:cite2:fuSyntax:0011004tokens.v1:2386572_0,δʼ,δέ1,urn:cite2:fuSyntax:pos.v1:particle,null,null,null,null,null,null,null,null,-,COORD,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n23596
68,3,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:68.3,urn:cite2:fuSyntax:0011004sentences.v1:2386572,27,urn:cite2:fuSyntax:0011004tokens.v1:2386572_3,488,urn:cite2:fuSyntax:0011004tokens.v1:2386572_4,εὖ,εὖ1,urn:cite2:fuSyntax:pos.v1:adverb,null,null,null,null,null,null,null,null,σκοπέω1,ADV,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n43309
68,4,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:68.4,urn:cite2:fuSyntax:0011004sentences.v1:2386572,27,urn:cite2:fuSyntax:0011004tokens.v1:2386572_4,489,urn:cite2:fuSyntax:0011004tokens.v1:2386572_5,σκοπῶν,σκοπέω1,urn:cite2:fuSyntax:pos.v1:participle,null,urn:cite2:fuSyntax:number.v1:singular,urn:cite2:fuSyntax:tense.v1:present,urn:cite2:fuSyntax:mood.v1:participial,urn:cite2:fuSyntax:voice.v1:active,urn:cite2:fuSyntax:gender.v1:masculine,urn:cite2:fuSyntax:case.v1:nominative,null,εὑρίσκω1,ADV,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n95111
68,5,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:68.5,urn:cite2:fuSyntax:0011004sentences.v1:2386572,27,urn:cite2:fuSyntax:0011004tokens.v1:2386572_5,490,urn:cite2:fuSyntax:0011004tokens.v1:2386572_9,ηὕρισκον,εὑρίσκω1,urn:cite2:fuSyntax:pos.v1:verb,urn:cite2:fuSyntax:person.v1:first_person,urn:cite2:fuSyntax:number.v1:singular,urn:cite2:fuSyntax:tense.v1:imperfect,urn:cite2:fuSyntax:mood.v1:indicative,urn:cite2:fuSyntax:voice.v1:active,null,null,null,οὗτος1,ATR,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n44964
68,6,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:68.6,urn:cite2:fuSyntax:0011004sentences.v1:2386572,27,urn:cite2:fuSyntax:0011004tokens.v1:2386572_6,491,urn:cite2:fuSyntax:0011004tokens.v1:2386572_5,ἴασιν,ἴασις1,urn:cite2:fuSyntax:pos.v1:noun,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:accusative,null,εὑρίσκω1,OBJ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n49721
68,7,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:68.7,urn:cite2:fuSyntax:0011004sentences.v1:2386572,27,urn:cite2:fuSyntax:0011004tokens.v1:2386572_7,492,urn:cite2:fuSyntax:0011004tokens.v1:2386572_6,μόνην,μόνος1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:accusative,null,ἴασις1,ATR,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n68641
68,8,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:68.8,urn:cite2:fuSyntax:0011004sentences.v1:2386572,27,urn:cite2:fuSyntax:0011004tokens.v1:2386572_8,493,urn:cite2:fuSyntax:0011004tokens.v1:2386572_5,",",comma1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,εὑρίσκω1,AuxX,Οἰδίπους,null
69,1,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:69.1,urn:cite2:fuSyntax:0011004sentences.v1:2386572,27,urn:cite2:fuSyntax:0011004tokens.v1:2386572_9,494,urn:cite2:fuSyntax:0011004tokens.v1:2386572_10,ταύτην,οὗτος1,urn:cite2:fuSyntax:pos.v1:adjective,null,urn:cite2:fuSyntax:number.v1:singular,null,null,null,urn:cite2:fuSyntax:gender.v1:feminine,urn:cite2:fuSyntax:case.v1:accusative,null,πράσσω1,OBJ,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n76062
69,2,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:69.2,urn:cite2:fuSyntax:0011004sentences.v1:2386572,27,urn:cite2:fuSyntax:0011004tokens.v1:2386572_10,495,urn:cite2:fuSyntax:0011004tokens.v1:2386572_2,ἔπραξα,πράσσω1,urn:cite2:fuSyntax:pos.v1:verb,urn:cite2:fuSyntax:person.v1:first_person,urn:cite2:fuSyntax:number.v1:singular,urn:cite2:fuSyntax:tense.v1:aorist,urn:cite2:fuSyntax:mood.v1:indicative,urn:cite2:fuSyntax:voice.v1:active,null,null,null,δέ1,PRED_CO,Οἰδίπους,urn:cite2:hmt:lsj.chicago_md:n86219
69,3,urn:cts:greekLit:tlg0011.tlg004.fu.tokens:69.3,urn:cite2:fuSyntax:0011004sentences.v1:2386572,27,urn:cite2:fuSyntax:0011004tokens.v1:2386572_11,496,urn:cite2:fuSyntax:0011004tokens.v1:2386572_0,:,punc1,urn:cite2:fuSyntax:pos.v1:punctuation,null,null,null,null,null,null,null,null,-,AuxK,Οἰδίπους,null
